vendor,live_start,quarters_used,gross_sharpe,p_value,accuracy_r2,incremental_r2,breakeven_bps,holdout_sharpe,sig_returns,sig_fund,buy_returns,buy_fund,kind
vendor_05,-1,20,-0.020270458469940085,0.5189710800527689,0.43751337175073396,0.00011453105080394543,0.0,0.3706998665388895,False,False,False,False,mirror
vendor_06,-1,20,-0.028311858813744126,0.5245526719228959,0.31917589272345614,3.803304330207702e-05,0.0,0.3543961724280738,False,False,False,False,mirror
vendor_00,620,10,1.6958696837689353,0.005160602516764978,0.30323318813816,0.09395974841662047,47.12181185341295,0.20200106549695462,True,True,True,True,genuine
vendor_01,-1,20,0.8168226173662266,0.02690472165742941,0.163453438914065,0.049322508755790584,21.78804921661408,1.1205906467632885,True,True,True,True,genuine
vendor_02,-1,20,0.06644797439299943,0.4397135556532349,0.08811279326813407,0.026320257663416502,1.7854815192280604,0.4890734515081579,False,True,False,False,genuine
vendor_03,-1,20,-0.023393618717001245,0.5202011317354017,0.044587492146289764,0.013567949488497821,0.0,1.1190250037973097,False,True,False,False,genuine
vendor_04,-1,20,0.12049634919437341,0.39411863634208066,0.025955113429858474,0.006839694454705336,3.1007599613954717,0.6203916422502518,False,True,False,False,genuine
vendor_19,682,9,-0.44153526324481207,0.7409548388282514,0.0012086104831194003,1.6635697309919095e-05,0.0,0.02547481948951837,False,False,False,False,junk
vendor_09,-1,20,-0.6851202984871146,0.9232264152814059,0.0011920848803735396,0.0003985094949159329,0.0,0.7584070875782142,False,False,False,False,junk
vendor_12,-1,20,-0.504763893680979,0.8441382398414932,0.00045788529938023203,0.00024968312505868617,0.0,0.7674167877367822,False,False,False,False,junk
vendor_07,806,7,-0.2686253268948443,0.628013160354736,0.00039612848717518625,0.00029022920096377636,0.0,1.0273538444743617,False,False,False,False,junk
vendor_28,682,9,-0.4207127205794026,0.7339718504155268,0.00024711925121464947,0.0001269625142620301,0.0,-0.3862852379988917,False,False,False,False,junk
vendor_15,-1,20,-0.829563825120291,0.9595457684272759,0.0001612314597170852,2.0837894857517192e-05,0.0,-0.5821507953935379,False,False,False,False,junk
vendor_10,-1,20,-0.5557196601872745,0.8725395153996209,0.00011385429706298875,7.921584624082101e-05,0.0,-0.13247370898798896,False,False,False,False,junk
vendor_13,-1,20,-0.3785136926307594,0.7931587793315883,9.083721148348201e-05,1.3779059784613246e-05,0.0,0.19736539467045494,False,False,False,False,junk
vendor_25,-1,20,-0.611219203718357,0.9067270987991954,8.38205635859271e-05,8.660121897374751e-08,0.0,-0.14245465378047897,False,False,False,False,junk
vendor_14,-1,20,-0.8397815150036959,0.9635179109744315,5.229455371635502e-05,1.2923705492884352e-05,0.0,0.5463248014754473,False,False,False,False,junk
vendor_23,-1,20,-0.2546923512537864,0.7084199981410954,5.0023796383254093e-05,9.368051192903959e-05,0.0,0.44922032533685896,False,False,False,False,junk
vendor_11,-1,20,-0.32526387747123936,0.7563426382201843,3.852612094310921e-05,5.9384372521731343e-05,0.0,-0.3008613443688645,False,False,False,False,junk
vendor_27,-1,20,-0.5297437257567528,0.885801268553336,2.9108644924201506e-05,3.2365230380193566e-06,0.0,0.34487492902267036,False,False,False,False,junk
vendor_21,744,8,-0.1380365472990193,0.5748938790105124,2.1459858540036348e-05,4.635462714008831e-06,0.0,-0.36478021106401687,False,False,False,False,junk
vendor_20,-1,20,-0.8940486665338767,0.9751863957290631,1.8802609304130066e-05,2.17944916206525e-05,0.0,1.0052986242958235,False,False,False,False,junk
vendor_22,-1,20,-0.20027799372757163,0.6762375365839058,1.0540726889165511e-05,3.304952594218591e-05,0.0,0.7156257637988014,False,False,False,False,junk
vendor_24,1054,3,-0.5267889594179036,0.6871574603872114,4.572969764381804e-06,5.4598634434688265e-05,0.0,0.44390389748275355,False,False,False,False,junk
vendor_17,-1,20,0.10906655603105556,0.405943642120989,3.325108533384254e-06,6.357103839338407e-06,3.006525763057244,1.2074494684567014,False,False,False,False,junk
vendor_08,806,7,-0.8170246125262245,0.8530062257058761,3.097196093085565e-06,1.9251471592762748e-05,0.0,-0.26175825320894797,False,False,False,False,junk
vendor_16,-1,20,-0.33130217155345176,0.7561481502549828,1.597211411173809e-06,7.217714335205905e-06,0.0,-0.9331897670313781,False,False,False,False,junk
vendor_29,992,4,0.18772299271237058,0.42629930395049986,1.3268430578894311e-06,8.112658218806246e-05,4.927521979045668,0.48735848491862627,False,False,False,False,junk
vendor_26,-1,20,-0.25007263781796396,0.6969305629605185,1.1258842268440705e-06,6.256226940948295e-06,0.0,0.03770395009134864,False,False,False,False,junk
vendor_18,-1,20,0.1728163950307123,0.35490725511576304,1.316921865816553e-07,2.0074189437391254e-06,4.691537926078393,-0.09257936155923802,False,False,False,False,junk
