genuine_median_agreement,mirror_median_agreement,junk_median_agreement,junk_max_agreement,clean_separation,precision_at_n,genuine_recall_at_n,mirrors_in_top,seed
0.12844741121368872,0.2899037066576074,0.047417333263407156,0.05377139981241167,True,1.0,1.0,2,0
0.1397770801755056,0.2937101777004378,0.047781627676179154,0.05694989349121125,True,1.0,1.0,2,1
0.1408846617787937,0.2971449379590624,0.04843213103853977,0.055651893757442485,True,1.0,1.0,2,2
0.12394873874494246,0.3040642916046443,0.048053698880598426,0.05804022013636417,True,1.0,1.0,2,3
0.13279219674829168,0.2999269334273534,0.047442168509460696,0.060398235392886586,True,1.0,1.0,2,4
0.12372472489429509,0.29001477801042325,0.047707556978234006,0.05795153965115809,True,1.0,1.0,2,5
0.13335011916121983,0.2929437549918168,0.048068412055579914,0.06520404268543678,True,1.0,1.0,2,6
0.143290547655784,0.2963373536615356,0.04669455065452521,0.06076529010183346,True,1.0,1.0,2,7
0.13420610460004048,0.29341881890714383,0.047415185123869864,0.053667789123449404,True,1.0,1.0,2,8
0.14265433524357746,0.2919314080811662,0.04879714366633702,0.05474705245396,True,1.0,1.0,2,9
0.12929886477870864,0.2932164697621495,0.047405408662892806,0.05683782479186091,True,1.0,1.0,2,10
0.12144436937081803,0.29708679363467727,0.04881420199481998,0.0580642390759158,True,1.0,1.0,2,11
0.13846452246337856,0.2981897622294083,0.04701532085685417,0.056660342954363487,True,1.0,1.0,2,12
0.12673176461614485,0.28603605472540533,0.046956235012864674,0.05632991706044608,True,1.0,1.0,2,13
0.13053922374197025,0.2938564279620479,0.04819330442778774,0.06358903758019223,True,1.0,1.0,2,14
