vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_04,1.129840368324784,1.1295213590129851,-0.00031900931179884573,5,smooth5_top25,0.375,8,-1.439;1.654;2.975;1.778;0.473;0.748;2.092;0.846,2,0.01,REAL,5
vendor_08,0.36370469488577933,0.48704383663403467,0.12333914174825533,6,smooth20_top25,0.5,8,-1.249;2.477;1.297;-1.336;1.751;-1.864;1.665;0.983,2,0.0,fake,6
vendor_11,0.09614662539477765,0.43255078886453724,0.3364041634697596,4,smooth5_top25,0.75,8,-0.018;-1.139;-0.318;1.720;0.824;-1.402;-0.549;1.726,2,0.0,fake,7
vendor_07,-0.09264886868549735,0.06446293845457751,0.15711180714007486,2,smooth1_top25,0.375,8,-1.042;-2.872;0.189;-0.762;0.903;2.500;0.854;-1.126,2,0.0,fake,8
vendor_09,-0.27365359333902317,0.5066704595296314,0.7803240528686546,5,smooth20_top25,0.375,8,0.066;-0.561;-1.590;-0.277;-0.486;-0.252;-0.164;0.832,2,0.0,fake,9
vendor_10,-0.27518354114848287,0.01446594937063844,0.2896494905191213,5,smooth1_all,0.375,8,0.839;0.721;-1.513;0.565;-1.125;0.031;-3.057;0.159,2,0.0,fake,10
vendor_06,-0.7277719054431938,0.06277594709202794,0.7905478525352218,5,smooth5_all,0.375,8,0.192;0.316;1.453;-0.372;-3.079;-2.446;-0.588;-0.097,2,0.0,fake,11
vendor_05,-0.8546766702488399,-0.2133857332690809,0.641290936979759,4,smooth1_all,0.5,8,-1.081;-0.461;-3.418;-0.259;-0.315;-0.014;-0.314;-0.576,2,0.0,fake,12
vendor_01,2.0971861394398377,2.442034127326564,0.3448479878867263,6,smooth1_top50,0.25,8,3.311;2.222;3.290;2.931;2.132;2.211;-0.352;1.571,3,0.04,REAL,1
vendor_00,1.9723886978289573,2.2593679665202666,0.2869792686913093,6,smooth20_top25,0.25,8,3.515;1.326;3.395;3.120;1.794;1.423;0.176;1.022,3,0.05,REAL,2
vendor_02,1.6741993244832638,1.897860249350115,0.2236609248668513,4,smooth20_all,0.375,8,4.644;-0.389;3.471;2.840;1.608;0.796;1.356;0.013,3,0.03,REAL,3
vendor_03,1.207423656603678,1.7809480771287636,0.5735244205250856,5,smooth20_top25,0.375,8,0.887;0.590;2.429;2.238;1.429;1.180;0.093;0.847,3,0.025,REAL,4
vendor_11,0.9039384312871169,0.6519703631586272,-0.2519680681284897,4,smooth20_top25,0.375,8,-1.511;-0.979;1.908;3.401;1.930;0.998;0.509;0.007,3,0.0,fake,5
vendor_04,0.8348147167062618,0.7449933786218247,-0.08982133808443715,1,smooth20_top25,0.75,8,3.110;-0.661;0.312;-0.817;1.289;3.021;-0.500;0.718,3,0.01,REAL,6
vendor_08,0.40413833855142706,0.6025124534357038,0.19837411488427675,2,smooth1_top25,0.5,8,2.093;0.766;2.051;-0.472;-1.129;-0.328;-0.944;1.658,3,0.0,fake,7
vendor_06,0.3747367250378504,0.3947910949085165,0.02005436987066611,3,smooth5_top25,0.375,8,2.084;0.353;-0.265;-0.181;2.430;-1.347;1.106;-1.227,3,0.0,fake,8
vendor_09,-0.10191205346135229,0.31644468152331984,0.41835673498467213,4,smooth20_top25,0.625,8,-0.325;1.166;-0.574;-1.870;1.795;-0.176;-0.423;0.014,3,0.0,fake,9
vendor_05,-0.11776646222311611,-0.021711666053518455,0.09605479616959765,7,smooth5_top50,0.25,8,1.034;-0.289;-0.816;-0.296;-2.086;1.072;0.668;0.442,3,0.0,fake,10
vendor_07,-0.6270207004618987,-0.3705035096121007,0.256517190849798,4,smooth5_all,0.375,8,-1.973;-1.096;-3.405;-1.184;0.323;-0.230;0.511;1.095,3,0.0,fake,11
vendor_10,-1.0846412039388615,-0.46273491961135377,0.6219062843275078,7,smooth20_all,0.25,8,0.085;-2.276;-1.530;0.200;-3.061;-1.084;-1.424;0.195,3,0.0,fake,12
vendor_02,1.5097430782092256,1.7404435759841983,0.2307004977749727,4,smooth1_top50,0.375,8,0.978;1.361;2.281;1.252;0.541;1.364;2.898;1.679,4,0.03,REAL,1
vendor_01,1.4107295231073629,1.7408688541660524,0.33013933105868953,5,smooth5_top25,0.25,8,0.939;0.393;1.931;1.493;0.697;1.148;3.394;2.349,4,0.04,REAL,2
vendor_00,1.4107295231073627,1.7408688541660524,0.33013933105868976,5,smooth5_top25,0.25,8,0.939;0.393;1.931;1.493;0.697;1.148;3.394;2.349,4,0.05,REAL,3
vendor_03,1.1945334884619094,1.4093390463711102,0.21480555790920075,5,smooth5_top25,0.25,8,1.308;0.881;0.308;0.821;0.755;-0.029;4.446;0.189,4,0.025,REAL,4
vendor_04,1.1353812386196267,1.8210116483497325,0.6856304097301058,4,smooth5_top50,0.5,8,2.169;2.238;0.535;2.523;1.295;-0.151;1.094;-0.735,4,0.01,REAL,5
vendor_05,0.7858539081392594,0.802489157585919,0.016635249446659617,2,smooth20_all,0.75,8,4.197;-0.362;2.228;-0.310;-0.825;0.529;0.676;0.327,4,0.0,fake,6
vendor_07,0.3278832155381842,0.8058443700417032,0.47796115450351895,4,smooth5_top50,0.5,8,-0.360;-0.672;0.799;1.276;1.748;3.265;-0.516;-1.263,4,0.0,fake,7
vendor_06,0.32232533954333603,0.4957535215958157,0.17342818205247967,3,smooth5_top50,0.5,8,1.703;0.592;-0.671;1.126;0.141;0.452;0.137;-0.504,4,0.0,fake,8
vendor_09,0.03070793851865059,0.5177410437033093,0.4870331051846587,4,smooth5_all,0.375,8,-2.287;-2.633;-0.336;1.381;1.391;-0.471;1.682;0.829,4,0.0,fake,9
vendor_10,-0.3331652121950716,-0.009118391615024068,0.3240468205800475,1,smooth5_top25,0.5,8,-0.752;0.769;-2.245;0.388;-0.434;2.026;-0.158;-1.917,4,0.0,fake,10
vendor_08,-0.3897891081866642,0.2254647670718752,0.6152538752585394,5,smooth1_top25,0.25,8,1.182;-2.486;-1.898;2.025;-1.397;0.998;-0.422;-0.567,4,0.0,fake,11
vendor_11,-0.5887362786044592,-0.1921723874249435,0.39656389117951574,5,smooth1_all,0.5,8,-0.537;-1.153;-0.494;-0.769;-0.136;0.193;-2.735;0.908,4,0.0,fake,12
vendor_00,1.6851076025471206,1.8530078080859191,0.16790020553879859,3,smooth1_top25,0.5,8,3.683;2.308;2.751;0.329;0.954;1.314;1.580;1.170,5,0.05,REAL,1
vendor_01,1.6851076025471206,1.8530078080859191,0.16790020553879859,3,smooth1_top25,0.5,8,3.683;2.308;2.751;0.329;0.954;1.314;1.580;1.170,5,0.04,REAL,2
vendor_02,1.6557221269467668,1.9526064433832655,0.2968843164364987,6,smooth5_top25,0.25,8,4.339;2.194;0.843;0.358;1.404;1.387;1.902;1.030,5,0.03,REAL,3
vendor_03,1.1175444152315461,1.7584101963263168,0.6408657810947707,4,smooth5_all,0.375,8,2.970;1.836;0.923;-0.968;-0.082;1.457;0.963;2.061,5,0.025,REAL,4
vendor_04,1.0014381291750165,1.1201301324965807,0.11869200332156415,3,smooth20_top50,0.375,8,2.468;2.019;-0.776;-0.590;0.100;-1.552;3.291;2.574,5,0.01,REAL,5
vendor_11,0.6607231650031754,0.8852889218313327,0.22456575682815727,5,smooth5_all,0.375,8,2.004;0.249;0.312;2.246;-0.740;1.189;1.827;-1.420,5,0.0,fake,6
vendor_07,0.36002954893284145,-0.003974225514436104,-0.36400377444727755,3,smooth20_top25,0.5,8,-0.523;3.275;1.600;-0.245;1.039;-1.317;-1.086;-0.166,5,0.0,fake,7
vendor_08,0.05238513812146995,0.01985825874439781,-0.03252687937707214,5,smooth20_top50,0.375,8,0.918;-2.003;2.645;1.795;1.296;-2.899;-0.151;-2.636,5,0.0,fake,8
vendor_05,-0.1427952374531307,0.2860754119247931,0.42887064937792374,4,smooth20_all,0.375,8,0.542;-0.680;-0.975;0.262;1.720;-1.381;-0.206;-0.939,5,0.0,fake,9
