n_bought,precision,recall,n_after_significance,precision_after_significance,backfill_days_discarded,holdout_bought,holdout_rejected,seed
4,0.25,0.2,6,0.5,8814,0.30959837905386667,0.1170411376156771,0
3,1.0,0.6,7,0.5714285714285714,8993,0.9743985126231949,0.11827676134900296,1
2,1.0,0.4,6,0.5,8283,2.7909261194834976,-0.060375191671138854,2
2,0.5,0.2,3,0.6666666666666666,8656,-0.8255285620859167,0.22808418266286115,3
3,1.0,0.6,6,0.6666666666666666,8754,1.7133524698126645,0.007910518614730001,4
3,0.6666666666666666,0.4,3,0.6666666666666666,8309,1.5045720488776932,-0.2743901112984928,5
4,0.25,0.2,9,0.3333333333333333,8500,-0.24451869900440407,-0.5613819400522719,6
5,0.4,0.4,6,0.3333333333333333,7910,-0.10897166238609923,0.14478183163033734,7
2,1.0,0.4,6,0.3333333333333333,8582,0.5772694010133121,0.1696928221483109,8
1,1.0,0.2,5,0.6,9059,0.09888452184305055,0.14212346177946,9
4,0.5,0.4,8,0.375,8463,1.132141152507329,0.14183570000793902,10
1,1.0,0.2,3,0.6666666666666666,8513,-0.030088854955599882,-0.09747119780950797,11
3,1.0,0.6,6,0.5,8729,0.6634708802986881,-0.0069186364985755954,12
1,1.0,0.2,5,0.4,8203,0.7075195198058493,0.10797834913875365,13
1,0.0,0.0,4,0.25,8488,-0.7716177661929049,-0.2077225174647415,14
1,0.0,0.0,4,0.5,8820,-0.6720549926088802,0.19974771993610577,15
1,1.0,0.2,4,0.25,9774,-0.11002391661869282,-0.011734930835208584,16
2,1.0,0.4,8,0.375,8796,2.6433104442063406,-0.35597842829826737,17
2,0.5,0.2,7,0.42857142857142855,9097,0.08370257223090505,0.01976933487695279,18
3,0.6666666666666666,0.4,4,0.5,8212,0.5297115651764083,0.18928491949093298,19
2,1.0,0.4,6,0.6666666666666666,8765,-0.13938216748576276,0.06196085881847163,20
4,0.75,0.6,5,0.6,8979,1.1259747774984996,-0.292083174744054,21
1,0.0,0.0,3,0.6666666666666666,9227,-0.9507972077784712,0.4791428304686536,22
1,1.0,0.2,4,0.5,9223,0.26395042551323705,-0.17901362670022694,23
3,0.6666666666666666,0.4,4,0.75,8840,0.9099984170087122,0.1690960995214298,24
1,1.0,0.2,7,0.5714285714285714,9181,0.042331892324292145,0.4298979628878655,25
3,1.0,0.6,7,0.42857142857142855,8888,-0.5813137886397057,-0.30646181667659295,26
2,1.0,0.4,5,0.6,9312,1.4292387392622548,-0.17164171856346874,27
2,0.5,0.2,6,0.5,9066,0.2510975668071838,0.0898163024915364,28
5,0.6,0.6,8,0.5,8637,0.9877988427105828,0.13519268747820015,29
