detection,false_alarm,median_error_days,agree_rate,n_backfilled,seed
0.2222222222222222,0.047619047619047616,180.0,0.0,9,0
0.2222222222222222,0.047619047619047616,168.5,0.0,9,1
0.6666666666666666,0.09523809523809523,68.5,0.5,9,2
0.6666666666666666,0.0,67.0,0.5,9,3
0.4444444444444444,0.09523809523809523,78.5,0.5,9,4
0.7777777777777778,0.09523809523809523,131.0,0.0,9,5
0.5555555555555556,0.047619047619047616,28.0,0.8,9,6
0.3333333333333333,0.047619047619047616,552.0,0.0,9,7
0.3333333333333333,0.047619047619047616,35.0,0.6666666666666666,9,8
0.0,0.047619047619047616,,,9,9
