vendor,ens_sharpe,t_stat,p_value,dsr,sr0_benchmark,frac_pos,accept_raw,accept_bonf,accept_bh,accept_dsr,true_ic,kind
vendor_00,2.392700858608807,5.743676893449791,4.632124350756328e-09,0.9999898924472818,0.6393088351487299,1.0,True,True,True,True,0.05,REAL
vendor_01,2.141778244221655,5.154522671138012,1.271388988532962e-07,0.9999966461468791,0.3041413461279714,1.0,True,True,True,True,0.04,REAL
vendor_02,1.454277367862813,3.5203413745395298,0.00021549585065439025,0.996527232948242,0.3463556695297978,1.0,True,True,True,True,0.03,REAL
vendor_03,1.4110240540239851,3.4644523432073124,0.00026565613554307976,0.9941090820104919,0.3773572819585994,1.0,True,True,True,True,0.025,REAL
vendor_04,0.8632228479294272,2.0757518621759212,0.018958453304178113,0.9722262564326385,0.07661262755677808,1.0,True,False,True,True,0.01,REAL
vendor_07,0.6321018586396207,1.5763633383235494,0.05747104617486165,0.8534651149050362,0.2006361142106717,1.0,False,False,False,False,0.0,fake
vendor_11,0.3422228681777337,0.8543868873542134,0.19644532946540982,0.6306133499912889,0.20548273972091047,1.0,False,False,False,False,0.0,fake
vendor_06,0.2486775136680428,0.6530773729519326,0.2568531993576554,0.39459012069511223,0.3583982890842125,0.7777777777777778,False,False,False,False,0.0,fake
vendor_05,0.1706301234519921,0.39245923354056395,0.34735946354860203,0.381977138054571,0.2938202933265461,0.6666666666666666,False,False,False,False,0.0,fake
vendor_08,0.03287113391270019,0.08455214635589349,0.4663087222191451,0.4071904377814246,0.12917330972855798,0.4444444444444444,False,False,False,False,0.0,fake
vendor_10,-0.002510666054639501,-0.005985107100642728,0.5023876980200118,0.041914489828999243,0.7066014610438806,0.6666666666666666,False,False,False,False,0.0,fake
vendor_09,-0.059902811275276316,-0.14422083402898644,0.5573369551235737,0.0036995168256549905,1.0383554574340124,0.3333333333333333,False,False,False,False,0.0,fake
