vendor,rate,turnover,gross_sharpe,net_sharpe,true_ic,kind
vendor_00,1.0,128.69501131431974,1.304417331207177,0.17174888443615932,0.03,REAL
vendor_00,0.5,75.96034689620754,1.1587901571549963,0.523799908577347,0.03,REAL
vendor_00,0.3,52.575464452983766,1.0674721384896153,0.6232993619343347,0.03,REAL
vendor_00,0.2,40.36749993443706,1.0027200999101684,0.6592123858158434,0.03,REAL
vendor_00,0.1,27.02409794221679,0.8210024443353804,0.5882528886854705,0.03,REAL
vendor_00,0.05,19.107194263134957,0.533813849642083,0.36594108830139016,0.03,REAL
vendor_00,0.02,12.20193414029269,0.13135559339198682,0.021321997755312367,0.03,REAL
vendor_01,1.0,140.26824688466024,1.8877095271831503,0.6390248423508162,0.025,REAL
vendor_01,0.5,84.79745566049267,2.005114686830989,1.3129696898616825,0.025,REAL
vendor_01,0.3,59.10349262255281,1.9967024616125193,1.5149641838006047,0.025,REAL
vendor_01,0.2,45.536176919216416,1.939069644604861,1.5674605554387886,0.025,REAL
vendor_01,0.1,30.1596359591162,1.7307539183509177,1.4814117247581575,0.025,REAL
vendor_01,0.05,20.69664193403013,1.4434992688593216,1.2684282596371346,0.025,REAL
vendor_01,0.02,12.99723829818216,1.1515084170268786,1.0371226963711504,0.025,REAL
vendor_02,1.0,132.69083235652343,1.4604501022240661,0.2823303570731155,0.02,REAL
vendor_02,0.5,81.51868884404651,1.4034945747246896,0.7305206274355139,0.02,REAL
vendor_02,0.3,56.985305834445334,1.284680181795151,0.8080728596767325,0.02,REAL
vendor_02,0.2,44.01681581301202,1.14443532521121,0.7737096296900504,0.02,REAL
vendor_02,0.1,29.44175865097534,0.993844822800105,0.7437630891820455,0.02,REAL
vendor_02,0.05,20.0794825520527,0.9265384222064605,0.7539434889563821,0.02,REAL
vendor_02,0.02,12.107913384899593,0.7599031039819869,0.6537098617103836,0.02,REAL
vendor_03,1.0,150.37277432474357,1.0244894962575666,-0.3738466277091108,0.015,REAL
