vendor,sharpe,t_stat,accept_rw,true_ic,kind
vendor_00,2.3934993571655268,5.743676893449788,True,0.05,REAL
vendor_01,2.14249300420959,5.154522671138013,True,0.04,REAL
vendor_02,1.454762693211838,3.520341374539535,True,0.03,REAL
vendor_03,1.4114949447609462,3.464452343207312,True,0.025,REAL
vendor_04,0.8635109249766353,2.0757518621759217,False,0.01,REAL
vendor_07,0.6323128053695516,1.5763633383235514,False,0.0,fake
vendor_11,0.3423370757124261,0.8543868873542142,False,0.0,fake
vendor_06,0.24876050299578836,0.6530773729519324,False,0.0,fake
vendor_05,0.17068706659505994,0.3924592335405645,False,0.0,fake
vendor_08,0.0328821037557924,0.08455214635589185,False,0.0,fake
vendor_10,-0.002511503920858335,-0.005985107100642892,False,0.0,fake
vendor_09,-0.059922802202339316,-0.14422083402898772,False,0.0,fake
