break_day,stat,threshold,flagged,vendor,true_live_start,is_backfilled,true_ic,error_days,agrees
605,1.9506438197584814,2.8440682375221678,False,vendor_00,-1,False,0.03,,
1128,2.544697721599021,3.453446728857256,False,vendor_01,-1,False,0.025,,
451,2.5692211949545207,2.2046546841020795,True,vendor_02,811,True,0.02,360.0,False
468,0.24496576084741994,2.695320743283759,False,vendor_03,-1,False,0.015,,
903,1.1308499730254304,2.3708102571847185,False,vendor_04,-1,False,0.01,,
282,1.0575611087498442,2.819884017465934,False,vendor_05,-1,False,0.0,,
599,2.608730510518557,2.8539498274134054,False,vendor_06,985,True,0.0,386.0,False
963,0.5738922029464242,2.644452577292629,False,vendor_07,-1,False,0.0,,
945,2.8873186417478576,2.5438183000014085,True,vendor_08,909,True,0.0,36.0,True
343,1.0697906717615644,2.7000165355477863,False,vendor_09,-1,False,0.0,,
1183,2.921390560040578,2.5198267138326313,True,vendor_10,862,True,0.0,321.0,False
290,1.2481452124107295,2.4740908884310944,False,vendor_11,-1,False,0.0,,
1063,2.986118501877459,3.062445148851876,False,vendor_12,-1,False,0.0,,
1248,-0.2271400788992119,2.490525470065832,False,vendor_13,-1,False,0.0,,
969,1.35834738357074,2.366639489841308,False,vendor_14,-1,False,0.0,,
473,2.571621785999587,2.7420426098076103,False,vendor_15,-1,False,0.0,,
711,2.598402322183043,2.5502560610274534,True,vendor_16,832,True,0.0,121.0,False
1248,1.7840549499009888,2.38783893762854,False,vendor_17,-1,False,0.0,,
445,0.990345853494652,2.4352778562330495,False,vendor_18,-1,False,0.0,,
1121,3.241743843539565,2.7840488771829883,True,vendor_19,1132,True,0.0,11.0,True
1232,0.08782138661795479,2.91779984368156,False,vendor_20,-1,False,0.0,,
1161,3.9739698330934496,3.2476760083984018,True,vendor_21,1095,True,0.0,66.0,False
1101,3.3042207596569755,2.836367344369293,True,vendor_22,789,True,0.0,312.0,False
290,1.5981779049172673,2.439932413094021,False,vendor_23,-1,False,0.0,,
455,1.3771402660015262,2.6822455416493804,False,vendor_24,-1,False,0.0,,
1164,2.7090856715416227,3.0077032157956456,False,vendor_25,1074,True,0.0,90.0,False
1047,0.8795430757428344,2.5009947987763623,False,vendor_26,-1,False,0.0,,
1226,2.275965933429821,2.6922340718271944,False,vendor_27,-1,False,0.0,,
923,3.1286237089226794,2.712264529965298,True,vendor_28,-1,False,0.0,,
359,1.6516774332564428,2.8371889040972293,False,vendor_29,-1,False,0.0,,
