rule,family,seed,n_bought,precision,recall,n_fake_bought,holdout_bought,holdout_rejected
fixed_be_0.1,fixed_be,11,1,1.0,0.2,0,-0.030088854955599882,-0.09747119780950797
bh_0.1,bh,12,2,1.0,0.4,0,0.3996636738937168,0.03586721813025321
bh_0.2,bh,12,3,0.6666666666666666,0.4,1,0.31974201662043317,0.031273459465674947
bh_0.4,bh,12,6,0.5,0.6,3,0.17495302901550333,0.03141213672256265
fixed_0.01,fixed,12,2,1.0,0.4,0,0.3996636738937168,0.03586721813025321
fixed_0.025,fixed,12,3,0.6666666666666666,0.4,1,0.31974201662043317,0.031273459465674947
fixed_0.05,fixed,12,4,0.5,0.4,2,0.12934604260953966,0.04947020326909095
fixed_0.1,fixed,12,6,0.5,0.6,3,0.17495302901550333,0.03141213672256265
topk_2,topk,12,2,1.0,0.4,0,0.3996636738937168,0.03586721813025321
topk_3,topk,12,3,0.6666666666666666,0.4,1,0.31974201662043317,0.031273459465674947
topk_5,topk,12,5,0.6,0.6,2,0.3416938927093579,0.003805599675509357
fixed_be_0.05,fixed_be,12,2,1.0,0.4,0,0.3996636738937168,0.03586721813025321
fixed_be_0.1,fixed_be,12,3,1.0,0.6,0,0.6634708802986881,-0.0069186364985755954
bh_0.1,bh,13,0,,0.0,0,,0.12796305482765682
bh_0.2,bh,13,3,0.3333333333333333,0.2,2,0.8064275864835005,0.05257810686589641
bh_0.4,bh,13,3,0.3333333333333333,0.2,2,0.8064275864835005,0.05257810686589641
fixed_0.01,fixed,13,1,0.0,0.0,1,0.9571897081604008,0.09936903229894153
fixed_0.025,fixed,13,3,0.3333333333333333,0.2,2,0.8064275864835005,0.05257810686589641
fixed_0.05,fixed,13,3,0.3333333333333333,0.2,2,0.8064275864835005,0.05257810686589641
fixed_0.1,fixed,13,5,0.4,0.4,3,0.23277378906293716,0.10700090798060076
topk_2,topk,13,2,0.5,0.2,1,0.832354613983125,0.07764937203083766
topk_3,topk,13,3,0.3333333333333333,0.2,2,0.8064275864835005,0.05257810686589641
topk_5,topk,13,5,0.4,0.4,3,0.23277378906293716,0.10700090798060076
fixed_be_0.05,fixed_be,13,1,1.0,0.2,0,0.7075195198058493,0.10797834913875365
fixed_be_0.1,fixed_be,13,1,1.0,0.2,0,0.7075195198058493,0.10797834913875365
