book,days_in_market,turnover,n_bought,precision,recall,genuine_breakeven,hold_gap,seed
always_on,1.0,7.0271717944361995,5,1.0,1.0,15.721837527126874,0.6783829428517287,0
event,0.21996328039157612,11.050806970467203,4,1.0,0.8,11.608867777442935,0.6739716303775488,0
always_on,1.0,7.07645375723066,2,1.0,0.4,5.298771655242831,0.7424197730625393,1
event,0.2204363175581703,11.104036545234184,2,1.0,0.4,7.113852316427637,0.46944816542396467,1
always_on,1.0,7.037825329698624,1,1.0,0.2,7.491889734389988,0.3191194265282835,2
event,0.2199986809110559,11.063824349837091,2,1.0,0.4,5.296504385852234,0.7592166335274908,2
always_on,1.0,7.055344159837165,3,1.0,0.6,13.685342178130142,0.1494561425019409,3
event,0.22026019794665913,11.081673287180243,3,1.0,0.6,6.1337007550164735,0.8411921803538407,3
always_on,1.0,7.097621370249382,2,1.0,0.4,12.034956331056339,1.1158747275364342,4
event,0.22017373720811448,11.098231994528863,2,1.0,0.4,6.792212520680908,1.2816298538554785,4
always_on,1.0,7.086688785693695,4,1.0,0.8,15.753761719694362,0.7764582823339048,5
event,0.22035806687491277,11.108272941166327,2,1.0,0.4,6.343737022677658,1.3956801614220786,5
always_on,1.0,7.084656306402243,2,1.0,0.4,5.037678409460078,0.6269776229582494,6
event,0.22025874228895634,11.10256235966691,3,1.0,0.6,6.300729689595332,0.7378801212389556,6
always_on,1.0,7.090975752437647,4,1.0,0.8,17.54375570977745,0.9159901755580131,7
event,0.2204642404550282,11.114595534217319,1,1.0,0.2,7.430387450764667,1.0051604767931872,7
always_on,1.0,7.022982078337607,4,1.0,0.8,13.413061534403266,0.4745505365536883,8
event,0.22031349625736754,11.073858420459569,2,1.0,0.4,4.897884568936135,0.6882407598104882,8
always_on,1.0,7.078770273902366,5,1.0,1.0,20.157341081076847,0.6453937510539647,9
event,0.22059015416582362,11.121621937230918,4,1.0,0.8,12.753945807007074,0.9917346597899008,9
always_on,1.0,7.063583963459152,4,1.0,0.8,14.885909933865022,0.45037953580449397,10
event,0.21999276474737367,11.074548610516047,4,1.0,0.8,8.95129519986348,0.61469160828655,10
always_on,1.0,7.01190954541495,5,1.0,1.0,10.629368218341941,0.9386427267289889,11
event,0.22003216536116735,11.045570935613744,3,1.0,0.6,8.873053951504204,0.9962555320460433,11
always_on,1.0,7.05719371825562,0,,0.0,1.1188750201517372,,12
event,0.22022233306612912,11.084812541142528,2,1.0,0.4,5.549398757774089,0.8735033751879593,12
always_on,1.0,7.03124786896071,1,1.0,0.2,2.047600087972654,1.0725277278429686,13
event,0.22005142265009078,11.059013392378363,1,1.0,0.2,3.4697818769806155,0.8090355675820281,13
