seed,inversions,any_inversion,max_fake,min_real,top_is_fake,best_fake_rank,weakest_real_rank,mean_search_gap,max_sharpe
0,0,False,0.7300089109803766,0.9531443844634397,False,6,5,0.22336173759912528,1.9919519378738086
1,1,True,0.6276431911195218,0.4976931685868251,False,5,6,0.31404627459781814,1.9298419098635624
2,0,False,0.7408321272470441,1.0271675054854406,False,6,5,0.5222220499153506,2.749996984658057
3,4,True,0.8034547678043291,0.130144666066712,False,5,9,0.1768371650359208,2.143380696996443
4,0,False,0.7129721904194676,1.4116862849366119,False,6,5,0.20925584774444964,1.6867732982812107
5,0,False,0.4615948791622057,1.0878341552034512,False,6,5,0.3547104978853468,2.040044987628966
6,0,False,0.6813794861551127,1.0168916102122918,False,6,5,0.3196422268893401,1.8122627172328198
7,1,True,0.8981211423344047,0.5272891952468615,False,5,6,0.2019525477886881,1.4976827688182954
8,1,True,1.3424515878449337,1.2338726075259165,False,5,6,0.08440487669058856,2.2011261304373475
9,4,True,0.5880401081670837,0.485407370827137,False,5,9,0.18649190558189735,1.761378286519046
10,1,True,1.1414772489945917,1.1271479431305484,False,5,6,0.4619854132559516,2.3856082611974307
11,2,True,0.9450682696556326,0.6448467964209467,False,4,6,0.14889298288941408,2.011401698060258
12,2,True,0.8456939440102665,0.6931798725744505,False,5,7,0.14927310998063828,1.9087535470291808
13,0,False,0.8537284951638755,0.9030796918614952,False,6,5,0.20968977829571622,1.4186076696071481
14,1,True,1.0691988620378605,1.049001202915434,False,5,6,0.30975228991507636,1.7294548460371713
15,0,False,0.87830560212559,1.0912393025362894,False,6,5,0.1583257449705606,1.617013612196377
16,1,True,0.5028838978519892,0.4196179127155189,False,5,6,0.1258953347989782,1.3459870789601696
17,0,False,0.5057723444873914,0.5583609143510202,False,6,5,0.1437118601987696,1.6095659042357717
18,0,False,0.3595567958018565,0.4886617847120834,False,6,5,0.1469861010802933,1.4864330317883427
19,2,True,1.0301030569898193,0.7655824469523841,False,5,7,0.41445901064699914,2.683810889845773
20,2,True,0.620757003364198,0.5588393773511423,False,5,7,0.14479598461513765,1.850932839206033
