vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_06,0.48824710389561216,0.7612325678302108,0.2729854639345986,0,smooth1_top25,1.0,5,0.034;1.444;-0.616;2.586;-1.139,6,0.0,fake,7
vendor_10,0.12571753031337662,0.6541390399040403,0.5284215095906637,3,smooth5_top25,0.4,5,1.619;-0.227;-0.692;-0.055;0.246,6,0.0,fake,8
vendor_11,-0.20472523985340607,0.8864549146099552,1.0911801544633613,4,smooth20_top25,0.4,5,-1.838;-0.386;1.770;-1.121;1.146,6,0.0,fake,9
vendor_09,-0.3384960981015543,-0.019536126205644377,0.3189599718959099,4,smooth1_all,0.4,5,-1.056;2.321;-0.978;-1.498;-2.643,6,0.0,fake,10
vendor_07,-0.4292056683684717,0.028752708373090283,0.457958376741562,3,smooth1_top50,0.4,5,-0.804;-3.838;2.047;-0.120;0.566,6,0.0,fake,11
vendor_08,-0.5108515543549916,0.10446732394715484,0.6153188783021465,1,smooth20_top50,0.8,5,-0.613;-1.995;-0.826;3.132;-1.786,6,0.0,fake,12
vendor_00,1.6129430027259009,1.6129430027259009,0.0,0,smooth1_top50,1.0,5,-0.720;2.843;1.224;1.901;2.739,7,0.05,REAL,1
vendor_01,1.6129430027259009,1.6129430027259009,0.0,0,smooth1_top50,1.0,5,-0.720;2.843;1.224;1.901;2.739,7,0.04,REAL,2
vendor_02,1.492151297075154,1.4450187095588127,-0.04713258751634131,2,smooth5_top50,0.8,5,0.078;3.259;-0.714;2.310;1.740,7,0.03,REAL,3
vendor_03,1.0366810592871722,1.1085915496193672,0.07191049033219499,2,smooth5_top50,0.6,5,0.414;2.118;0.347;0.777;1.719,7,0.025,REAL,4
vendor_08,1.0119723645592669,0.9422872413244341,-0.06968512323483278,3,smooth1_top25,0.4,5,1.315;1.641;1.947;0.490;-0.945,7,0.0,fake,5
vendor_04,0.9360805605381056,1.4747127152073918,0.5386321546692862,1,smooth20_top25,0.6,5,-0.004;0.415;0.069;1.568;4.658,7,0.01,REAL,6
vendor_06,0.7454927236725781,1.5555515281548022,0.8100588044822241,1,smooth5_top50,0.8,5,2.877;0.893;0.789;-1.071;0.868,7,0.0,fake,7
vendor_05,0.5092036521843164,1.1893438937225123,0.6801402415381959,1,smooth1_top50,0.8,5,2.257;-0.573;-0.084;-1.249;2.767,7,0.0,fake,8
