seed,inversions,any_inversion,max_fake,min_real,top_is_fake,best_fake_rank,weakest_real_rank,mean_search_gap,max_score
0,2,True,0.7100655486186638,0.18249849177744945,False,5,7,0.416327669506184,2.0674771845964486
1,1,True,0.38495514328329594,0.24857985900709556,False,5,6,0.20626431273530843,2.041918700329514
2,0,False,0.36370469488577933,1.129840368324784,False,6,5,0.345456259431203,3.119628948607813
3,1,True,0.9039384312871169,0.8348147167062618,False,5,6,0.22487389057029702,2.0971861394398377
4,0,False,0.7858539081392594,1.1353812386196267,False,6,5,0.3568614504780898,1.5097430782092256
5,0,False,0.6607231650031754,1.0014381291750165,False,6,5,0.27858403478037136,1.6851076025471206
6,0,False,0.3722108916679083,0.781824839974914,False,6,5,0.46062901168876697,1.637258500493191
7,0,False,0.4359904547629939,0.5529895417597093,False,6,5,0.36192537491217136,1.2743023073844526
8,0,False,1.0600765540158439,1.3337190177868932,False,6,5,0.2536082442206553,2.2441075109774253
9,1,True,0.5564663306214921,0.545886003695938,False,5,6,0.4155078659888148,1.7289298269517923
10,2,True,1.017642228386751,0.8283794458490104,False,5,7,0.3297653385222339,2.2333005953871696
11,2,True,0.8447526182600473,0.6917146529761855,False,4,6,0.31522926205859686,2.1453280398537933
12,5,True,1.0100764315250501,0.41041999741426066,False,4,8,0.31173742407335425,1.7670714111946724
13,0,False,0.7186201761717405,0.8498809737249511,False,6,5,0.16465788823604074,1.708011914136843
14,1,True,0.43960496545255784,0.33136352816875386,False,5,6,0.41792578098459704,1.297938149663268
15,0,False,0.8365967479240696,0.8852955877139141,False,6,5,0.18179520503934488,1.3458944249372378
16,1,True,0.6256407329824256,0.46035904210901823,False,5,6,0.1885398748379203,1.3389053314124466
17,1,True,0.5229486678863152,0.3213971890942162,False,5,6,0.15368117090728453,1.4477112008746225
18,3,True,0.4841416046216712,0.03554825827392639,False,5,8,0.4058705756643519,1.4512518069110183
19,5,True,1.260815750651288,-0.01665750729335512,False,5,10,0.3440917094507228,1.9983803928448973
20,2,True,0.9580112907683783,0.10602731929211578,False,5,7,0.2954707614835922,1.8712381206193964
21,0,False,0.5117033455069757,0.7366662776081156,False,6,5,0.20177418181621773,2.019399429750051
22,3,True,0.6321541886318397,0.21345781087586566,False,5,8,0.4051481265536268,1.695469521895049
23,4,True,1.2078968608310707,0.46427256155167723,False,4,8,0.3591702083436535,1.5038450084379404
24,5,True,0.6758824493407432,0.28232459297006535,False,4,8,0.3995411999415029,0.886027984080372
25,1,True,0.7359021582116162,0.5779414517161003,False,5,6,0.40262991948065235,2.265082964904957
26,5,True,0.9298595033542353,0.044281996049715805,False,4,9,0.32621316041771103,2.015369069042941
27,1,True,0.6357034396956697,0.5475175673942457,False,5,6,0.2957025787180141,2.2752424208822433
28,2,True,0.6270759932238168,0.09143082264615543,False,5,7,0.27781843622592,1.3425064953939145
29,0,False,0.5714014996040844,0.6959951556061174,False,6,5,0.2619981771786855,1.7979750709108144
30,3,True,0.7969019580463789,0.23063008344545333,False,5,8,0.3521036975431558,2.0931538320587255
31,7,True,0.6923676990710764,0.24749726637571284,False,4,10,0.4176709281325084,1.0733629082876255
32,0,False,0.6626092957147448,0.7913575012005769,False,6,5,0.4405673260424962,1.669599145283981
33,5,True,0.3511319841881229,-0.13368666533574866,False,2,7,0.5211239505348649,0.8851990522743131
34,0,False,0.885016564461048,1.0874183208047623,False,6,5,0.43652757012411886,2.13850654116474
35,0,False,0.5702427972640232,0.7935141707809752,False,6,5,0.4075358782428217,1.1922948099813062
36,3,True,0.904845800712993,0.09533448284548764,False,5,8,0.2568580041939576,1.632168132557693
37,0,False,0.4689782218347286,0.6538508679346284,False,6,5,0.2226553529744029,1.0780032340761432
38,2,True,0.7564045135361886,0.6681878071751675,False,5,7,0.30341164416551764,1.2843191300519237
39,0,False,0.09892704845603588,1.0057889699040743,False,6,5,0.28939925768349645,1.66188619089484
